,function,operator,best,mean,std
0,Sphere,4DE_0123,3.857969739217492e-45,5.492640996464991e-44,5.350365291230133e-44
1,Sphere,3DE_012,6.199567289526068e-46,4.384874728560037e-45,3.447086674071562e-45
2,Sphere,3DE_013,2.6330097556525397e-14,1.3039109076892558e-13,9.429588790459721e-14
3,Sphere,3DE_023,1.625943798717257e-55,1.470483159606364e-54,1.7361702800891913e-54
4,Sphere,3DE_123,8.527150594295946e-54,1.0260415855815242e-52,1.6527998634097347e-52
5,Sphere,2DE_01,0.006605141705261273,0.012473772166909558,0.0059216723400712405
6,Sphere,2DE_02,5.826840867296473e-63,2.9818318887414744e-62,4.318024811096724e-62
7,Sphere,2DE_03,1.3287402638295928e-20,6.656513011598404e-20,5.10339223464869e-20
8,Sphere,2DE_12,2.6174145943725355e-60,6.608012249334455e-59,1.1199537838071298e-58
9,Sphere,2DE_13,1.0732540811793732e-17,4.366320475034553e-17,3.228134427839929e-17
10,Sphere,2DE_23,1.226823967695822e-73,1.146981035923434e-72,1.453705016670009e-72
11,Sphere,1DE_0,5.606962486869022e-06,1.3437811738980202e-05,7.181593925122388e-06
12,Sphere,1DE_1,8.764650717738704,17.156029555245905,4.406025640048309
13,Sphere,1DE_2,1.3557665187639255e-109,6.284592792790185e-107,1.106124984216815e-106
14,Sphere,1DE_3,2.3057230972871295e-33,4.3257179907906776e-33,2.0175455799766564e-33
15,HighCondElliptic,4DE_0123,1.8142606533529546e-44,6.78197368713774e-44,3.5287163469424846e-44
16,HighCondElliptic,3DE_012,1.0058031021576989e-45,8.441143107248205e-45,7.449962127219973e-45
17,HighCondElliptic,3DE_013,2.5622846862460606e-14,8.765817533290827e-14,7.831017981900872e-14
18,HighCondElliptic,3DE_023,3.287541619034514e-55,2.4904610630482304e-54,3.43024476088442e-54
19,HighCondElliptic,3DE_123,8.441214434622083e-54,2.000848704046705e-52,1.9406731655692532e-52
20,HighCondElliptic,2DE_01,0.0007784802491503596,0.0018099985649911508,0.0006823482460064008
21,HighCondElliptic,2DE_02,4.80293921109548e-63,1.5352344780315935e-61,2.2106619987748212e-61
22,HighCondElliptic,2DE_03,1.5482631767300192e-20,4.2476626422666927e-20,2.927145688096311e-20
