,function,operator,best,mean,std
0,HappyCat,4DE_0123,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
1,HappyCat,3DE_012,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
2,HappyCat,3DE_013,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
3,HappyCat,3DE_023,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
4,HappyCat,3DE_123,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
5,HappyCat,2DE_01,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
6,HappyCat,2DE_02,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
7,HappyCat,2DE_03,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
8,HappyCat,2DE_12,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
9,HappyCat,2DE_13,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
10,HappyCat,2DE_23,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
11,HappyCat,1DE_0,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
12,HappyCat,1DE_1,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
13,HappyCat,1DE_2,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
14,HappyCat,1DE_3,-405.9023994356888,-405.90239943568884,5.684341886080802e-14
15,HGBat,4DE_0123,0.4946201991303879,0.5174207989150528,0.015676434692615482
16,HGBat,3DE_012,0.5025457702913727,0.5157049750687529,0.00811667958000685
17,HGBat,3DE_013,0.5089060948341497,0.5212098529305612,0.009666781745845772
18,HGBat,3DE_023,0.503611233094775,0.5197368607907908,0.012685709449832215
19,HGBat,3DE_123,0.5051694700387893,0.5231240882362055,0.009932887655540372
20,HGBat,2DE_01,0.5145282470399264,0.5272071736203767,0.011331955296020869
21,HGBat,2DE_02,0.5027642317304488,0.5183511046695359,0.011827112280415072
22,HGBat,2DE_03,0.4964336706295652,0.5141056006796912,0.012964651964246544
23,HGBat,2DE_12,0.5017665418976178,0.5231061402330669,0.018648425168929755
24,HGBat,2DE_13,0.4966235619333173,0.5156145633998639,0.015192555492793521
25,HGBat,2DE_23,0.5005023885635018,0.5161421598984525,0.01350209598542516
26,HGBat,1DE_0,0.49637127340940096,0.5238917402888825,0.022291135768195195
27,HGBat,1DE_1,0.4991088727614676,0.5291413146434433,0.018292552961124652
28,HGBat,1DE_2,0.4963131289830923,0.5177157970323234,0.009771152222825938
29,HGBat,1DE_3,0.5046026524004728,0.5151235342019416,0.007494863437643958
30,ExpandedGriewankPlusRosenbrock,4DE_0123,220041531.86583823,220041532.29744768,0.16625425240482278
31,ExpandedGriewankPlusRosenbrock,3DE_012,220041532.17849573,220041532.32128868,0.09845980246095837
32,ExpandedGriewankPlusRosenbrock,3DE_013,220041532.22483683,220041533.8544702,1.3781084730351956
33,ExpandedGriewankPlusRosenbrock,3DE_023,220041531.7324167,220041532.19270557,0.2556593095040979
34,ExpandedGriewankPlusRosenbrock,3DE_123,220041531.7324167,220041532.1579636,0.2054882812712197
35,ExpandedGriewankPlusRosenbrock,2DE_01,220152885.76082525,220400884.09773827,187656.37195720404
36,ExpandedGriewankPlusRosenbrock,2DE_02,220041531.759178,220041532.27508134,0.2771116813478483
37,ExpandedGriewankPlusRosenbrock,2DE_03,220041531.8990423,220041532.24599957,0.25404106823306494
38,ExpandedGriewankPlusRosenbrock,2DE_12,220041531.91012487,220041532.7815713,0.9802437066982793
39,ExpandedGriewankPlusRosenbrock,2DE_13,220041531.90068433,220041532.3783616,0.4018399906461268
40,ExpandedGriewankPlusRosenbrock,2DE_23,220041531.87466255,220041532.35981536,0.24752152325202798
41,ExpandedGriewankPlusRosenbrock,1DE_0,220042704.7150947,220044381.65159455,1628.1903029529458
42,ExpandedGriewankPlusRosenbrock,1DE_1,232363359.27965593,362192109.26691264,144310644.18848425
43,ExpandedGriewankPlusRosenbrock,1DE_2,220041531.91007867,220041532.36389637,0.43382780968295304
44,ExpandedGriewankPlusRosenbrock,1DE_3,220041531.9179655,220041532.24289185,0.207565576565656
45,ExpandedShafferF6,4DE_0123,0.34725019534810403,0.3472502429725427,2.994302204947583e-08
46,ExpandedShafferF6,3DE_012,0.34725019990717126,0.34725028322762685,1.2543670794173214e-07
47,ExpandedShafferF6,3DE_013,0.3472502124400319,0.35069611322021077,0.00957388785795997
48,ExpandedShafferF6,3DE_023,0.3472502051420287,0.3472502664480656,7.334932824902343e-08
49,ExpandedShafferF6,3DE_123,0.3472501942209189,0.3472503205725522,1.0522662194757533e-07
50,ExpandedShafferF6,2DE_01,0.6096138830204683,0.6408988094536774,0.02102046888350324
51,ExpandedShafferF6,2DE_02,0.3472501883607215,0.34725021912447784,2.9006168712111563e-08
52,ExpandedShafferF6,2DE_03,0.3472501927609317,0.347252040081001,2.8484210288267746e-06
53,ExpandedShafferF6,2DE_12,0.34725018956025144,0.34725022219978696,2.8495176562599146e-08
54,ExpandedShafferF6,2DE_13,0.3472504483470788,0.3504870045003024,0.009655161517525018
55,ExpandedShafferF6,2DE_23,0.34725018823540127,0.34725021068779244,1.4544140732837866e-08
56,ExpandedShafferF6,1DE_0,0.4564976012717314,0.5362064038272711,0.05752860740396134
57,ExpandedShafferF6,1DE_1,0.6977977770742603,0.7169430115322076,0.008672917903285596
58,ExpandedShafferF6,1DE_2,0.34725018805361657,0.34725019318084993,6.318863435066052e-09
59,ExpandedShafferF6,1DE_3,0.3472502055278442,0.3472503762734862,1.7513888464433965e-07
