,substrates,function,best,mean,std
0,Sphere,4DE_0123,1.188793e-46, 7.375575e-45, 1.342383e-44
1,Sphere,3DE_012,1.654836e-47, 8.670413e-46, 1.279931e-45
2,Sphere,3DE_013,3.079961e-15, 1.091211e-14, 8.667399e-15
3,Sphere,3DE_023,5.803276e-58, 6.598474e-56, 6.834479e-56
4,Sphere,3DE_123,3.160874e-55, 1.782458e-54, 1.625402e-54
5,Sphere,2DE_01,2.660509e-03, 5.072577e-03, 2.105272e-03
6,Sphere,2DE_02,4.360203e-65, 1.063553e-63, 9.577852e-64
7,Sphere,2DE_03,8.667317e-22, 3.272033e-21, 1.418195e-21
8,Sphere,2DE_12,4.922326e-64, 1.607940e-60, 2.171001e-60
9,Sphere,2DE_13,2.570320e-19, 1.629433e-18, 1.248478e-18
10,Sphere,2DE_23,2.543074e-76, 9.831384e-75, 1.272857e-74
11,Sphere,1DE_0,2.518899e-06, 6.665084e-06, 2.811837e-06
12,Sphere,1DE_1,5.239716e+00, 1.252710e+01, 5.041886e+00
13,Sphere,1DE_2,1.319251e-112, 4.955247e-111, 5.529982e-111
14,Sphere,1DE_3,9.157866e-35, 2.258748e-34, 9.903256e-35
0,HighCondElliptic,4DE_0123,3.685643637018394e-13,2.563090069189095e-12,2.0161585403692736e-12
1,HighCondElliptic,3DE_012,7.123011864499825e-13,3.004827216973313e-12,3.185705207640927e-12
2,HighCondElliptic,3DE_013,0.007508172272685474,0.014998689232697388,0.006745429183922287
3,HighCondElliptic,3DE_023,1.2123004244844152e-16,7.036621705814022e-16,4.731517149377459e-16
4,HighCondElliptic,3DE_123,6.074431593088634e-16,3.324650092106721e-15,2.701377591678002e-15
5,HighCondElliptic,2DE_01,24.900720039326586,42.38290629291633,11.105582790599355
6,HighCondElliptic,2DE_02,9.543533808548039e-19,1.753693592675999e-18,8.483815779867108e-19
7,HighCondElliptic,2DE_03,5.388876698417995e-05,0.00013698781437388233,3.993185149676517e-05
8,HighCondElliptic,2DE_12,6.628831734489026e-18,4.53035464317276e-17,4.947961486272155e-17
9,HighCondElliptic,2DE_13,0.00044241884369092206,0.00098224548379683,0.00026534726069156526
10,HighCondElliptic,2DE_23,1.426290301718288e-22,6.856427960971322e-22,7.078978504791309e-22
11,HighCondElliptic,1DE_0,3.5006662078068658,4.981978306899354,0.8296389444971047
12,HighCondElliptic,1DE_1,219.05618440336502,329.75713869489846,68.48819934536714
13,HighCondElliptic,1DE_2,1.6295951841448891e-34,2.4908142365532395e-32,4.3278031871516945e-32
14,HighCondElliptic,1DE_3,3.4316691610352786e-09,7.790556039265608e-09,3.4817004795921004e-09
15,BentCigar,4DE_0123,1.7640692100807985e-07,7.640376648889482e-07,4.977552457883039e-07
16,BentCigar,3DE_012,1.114564271223758e-07,5.107796260877548e-07,3.395037529606468e-07
17,BentCigar,3DE_013,8470.98949042934,11928.151452234062,2416.9214121010323
18,BentCigar,3DE_023,1.553289260031898e-11,2.2662583656780619e-10,2.4945149315563047e-10
19,BentCigar,3DE_123,1.3637424822116753e-10,1.057573133458666e-09,1.1461155490509908e-09
20,BentCigar,2DE_01,71181499.43946621,107707196.07328995,21253979.964126065
21,BentCigar,2DE_02,1.5695583911397765e-13,7.802823050026735e-13,6.403249288023452e-13
22,BentCigar,2DE_03,52.56362281982193,93.30195141875252,33.73107607455654
23,BentCigar,2DE_12,8.498520747895415e-13,4.353766431586224e-12,3.005967737849542e-12
24,BentCigar,2DE_13,237.6485558579497,814.9077997593239,300.62086955828244
25,BentCigar,2DE_23,2.2066395295097364e-17,1.5986003538376825e-16,1.3430856067446636e-16
26,BentCigar,1DE_0,8684026.013020867,12640527.934063967,3831496.887612024
27,BentCigar,1DE_1,1119230470.3970182,1780852848.3163266,573709689.4406939
28,BentCigar,1DE_2,2.458053584554919e-29,1.7731339107001358e-28,1.9072061399452676e-28
29,BentCigar,1DE_3,0.002046560683693248,0.005460513602537894,0.0029500343917766153
30,Discus,4DE_0123,2.3087095277842953e-15,6.037207845604174e-15,2.8993405957463293e-15
31,Discus,3DE_012,3.8006521738865505e-16,2.3563174696234483e-15,1.466239456704547e-15
32,Discus,3DE_013,3.828239932832168e-05,8.88452692936112e-05,3.904903788795021e-05
33,Discus,3DE_023,2.2812204822795183e-19,1.205628870717451e-18,8.106374911936896e-19
34,Discus,3DE_123,7.485855084592166e-19,8.164702636152578e-18,6.049473000335044e-18
35,Discus,2DE_01,0.35784728734762417,0.5903670262115401,0.1270128218995317
36,Discus,2DE_02,7.16754902058369e-22,2.2757951617141164e-21,1.9603370442731048e-21
37,Discus,2DE_03,3.6276964124887975e-07,7.073887354497579e-07,2.1206713964625908e-07
38,Discus,2DE_12,1.8833424719107816e-21,2.871632631024653e-20,2.822501564796691e-20
39,Discus,2DE_13,2.7370972941534465e-06,5.665842435923294e-06,2.3450050191884603e-06
40,Discus,2DE_23,2.7808715738637766e-25,1.072421354009811e-24,6.848210008746282e-25
41,Discus,1DE_0,0.035330751634099315,0.05994592079962472,0.014744653092947887
42,Discus,1DE_1,4.268006926096276,7.091832695192032,1.348663080478591
43,Discus,1DE_2,6.674092503333802e-38,5.8059905505370524e-37,3.132788626023014e-37
44,Discus,1DE_3,1.0818797490635146e-11,2.7904362184210905e-11,1.6351253772087934e-11
45,Rosenbrock,4DE_0123,17.0151113615816,17.921876510844942,0.5619544420404654
46,Rosenbrock,3DE_012,15.90655864896994,22.949508095265934,18.402938281945012
47,Rosenbrock,3DE_013,74.97089526756429,143.11748872031052,40.9407351066113
48,Rosenbrock,3DE_023,14.56707899070342,16.324551130860797,1.0419941173146674
49,Rosenbrock,3DE_123,13.034498019751998,21.48369167822421,18.999854201871578
50,Rosenbrock,2DE_01,1337404.6376427363,4851150.162023966,2794292.1318779676
51,Rosenbrock,2DE_02,10.486753693190723,19.644197069259246,19.150455742828154
52,Rosenbrock,2DE_03,27.30262105754396,29.226797542438266,1.1374570958978927
53,Rosenbrock,2DE_12,10.44882104562728,17.649986893373928,19.008972378028812
54,Rosenbrock,2DE_13,30.17423229900437,42.10590419376875,9.187822149374659
55,Rosenbrock,2DE_23,9.893219532537515,12.98418541158872,2.135858479470424
56,Rosenbrock,1DE_0,67265.6650995018,250576.20612775246,162138.77779622297
57,Rosenbrock,1DE_1,122456599.04291214,297884142.7594155,152383084.40795493
58,Rosenbrock,1DE_2,11.844331606588677,21.810926675487842,16.153552469786316
59,Rosenbrock,1DE_3,21.481964794836454,22.27689661498202,0.5698130852378317
60,Ackley,4DE_0123,2.8151983855195795e-08,5.0728920086839933e-08,1.567161643969309e-08
61,Ackley,3DE_012,1.5576844702991366e-08,3.7912279537977156e-08,1.4836675677162026e-08
62,Ackley,3DE_013,0.004724287497577251,0.00731542877192517,0.0022167394956716818
63,Ackley,3DE_023,4.233697836752981e-10,9.451511573388417e-10,5.024720758523044e-10
64,Ackley,3DE_123,1.0349126000619435e-09,1.6504269950701201e-09,6.108098339228153e-10
65,Ackley,2DE_01,1.778250268803916,2.074994788770501,0.21665365497912895
66,Ackley,2DE_02,2.0538237777145696e-11,4.4654058228843496e-11,2.454895501365883e-11
67,Ackley,2DE_03,0.0004416066852783729,0.0007014670201520801,0.00012448006116137862
68,Ackley,2DE_12,5.6054716424114304e-11,1.1592291571105307e-10,4.3764425338198475e-11
69,Ackley,2DE_13,0.0013478522187000408,0.0018751751855475619,0.0004440343159138179
70,Ackley,2DE_23,3.055333763768431e-13,6.981082378842984e-13,3.1737188883428173e-13
71,Ackley,1DE_0,0.409255292621971,0.5959643103437365,0.19163617219671225
72,Ackley,1DE_1,3.451234665390647,3.8724747718431387,0.17501216246108844
73,Ackley,1DE_2,3.552713678800501e-15,6.7501559897209515e-15,1.0658141036401502e-15
74,Ackley,1DE_3,2.2642858041876934e-06,3.6459287148460363e-06,8.251407697591432e-07
75,Weierstrass,4DE_0123,-59.999942779541,-59.99994277954096,4.118696991267097e-14
76,Weierstrass,3DE_012,-59.99994277954099,-59.99994277954094,3.113442275577916e-14
77,Weierstrass,3DE_013,-59.99994277954099,-59.99994277954096,2.686941570742226e-14
78,Weierstrass,3DE_023,-59.99994277954098,-59.99994277954096,2.6010134800064758e-14
79,Weierstrass,3DE_123,-59.99994277954091,-59.99994277954088,1.9197807555011502e-14
80,Weierstrass,2DE_01,-59.99994277954096,-59.99994277954092,1.711213510985814e-14
81,Weierstrass,2DE_02,-59.99994277954099,-59.99994277954094,3.581022601893594e-14
82,Weierstrass,2DE_03,-59.999942779541,-59.99994277954097,1.6814510056234485e-14
83,Weierstrass,2DE_12,-59.99994277954093,-59.99994277954089,2.3672912517664714e-14
84,Weierstrass,2DE_13,-59.99994277954093,-59.99994277954089,2.7056661287843684e-14
85,Weierstrass,2DE_23,-59.99994277954091,-59.999942779540845,3.3927950614478624e-14
86,Weierstrass,1DE_0,-59.99994277954101,-59.999942779540994,1.1457157353758234e-14
87,Weierstrass,1DE_1,-59.99994277954089,-59.999942779540866,1.8391942696701995e-14
88,Weierstrass,1DE_2,-59.999942779540895,-59.98678567724253,0.03947130689505632
89,Weierstrass,1DE_3,-59.999942779540994,-59.999942779540866,4.5330176327913083e-14
90,Griewank,4DE_0123,1.2989609388114332e-14,6.177280909014371e-14,4.4224412754147826e-14
91,Griewank,3DE_012,8.659739592076221e-15,6.108447081487612e-14,6.160238903299832e-14
92,Griewank,3DE_013,0.0012927279345986697,0.02001913994244795,0.04663059936967323
93,Griewank,3DE_023,0.0,0.0,0.0
94,Griewank,3DE_123,0.0,0.0009857284607822203,0.0029571853823461797
95,Griewank,2DE_01,1.030831817965513,1.0489957469864446,0.012232006707228876
96,Griewank,2DE_02,0.0,0.0007396040334114895,0.002218812100234469
97,Griewank,2DE_03,8.547363936850516e-06,0.0008046393486858983,0.0023628018926711756
98,Griewank,2DE_12,0.0,0.001479208066822979,0.0029584161336459578
99,Griewank,2DE_13,5.4378989520209586e-05,0.0001309085211764205,5.2320173632480776e-05
100,Griewank,2DE_23,0.0,0.0,0.0
101,Griewank,1DE_0,0.7594304959202857,0.8449494668168406,0.04634015670821777
102,Griewank,1DE_1,1.4665890963595019,1.645211821490633,0.12645046005814958
103,Griewank,1DE_2,0.0,0.008612426026330677,0.009214802458736158
104,Griewank,1DE_3,1.3706813462022183e-10,5.180918805081091e-10,3.7615466309545473e-10
