,substrates,function,best,mean,std
0,Sphere,4DE_0123,6.417234134003766e-89,4.454341180975277e-87,6.320932311567645e-87
1,Sphere,3DE_012,1.7539349136022732e-103,6.052107009744412e-100,1.325318968333626e-99
2,Sphere,3DE_013,1.6551296235953767e-28,1.1231902213182591e-26,1.2753842971051207e-26
3,Sphere,3DE_023,1.4014580452575363e-98,3.5067449165105305e-96,8.014556180228302e-96
4,Sphere,3DE_123,1.1087160784887294e-99,1.571663419726876e-96,2.427051628073563e-96
5,Sphere,2DE_01,4.5288151569598255e-11,6.239369594836974e-09,7.699100691734274e-09
6,Sphere,2DE_02,3.193809795508263e-107,2.39167762196457e-105,4.4575787793503724e-105
7,Sphere,2DE_03,1.1736888009433772e-30,7.339291003713733e-30,8.453389130704879e-30
8,Sphere,2DE_12,1.4526009421407116e-109,1.3629966389613447e-105,2.085308355781956e-105
9,Sphere,2DE_13,1.2217358957124134e-34,2.9787153436661764e-32,4.048875696240864e-32
10,Sphere,2DE_23,1.0594094706171223e-106,4.847157644208905e-105,8.99972987077347e-105
11,Sphere,1DE_0,1.996431413292356e-06,5.554675218413091e-06,2.2065249897129954e-06
12,Sphere,1DE_1,6.563333794958241,11.74180543261805,4.473362786599875
13,Sphere,1DE_2,8.203639959275405e-113,4.910937400643078e-111,8.436387745232613e-111
14,Sphere,1DE_3,5.899698656559206e-35,2.659397418107389e-34,1.436668248262929e-34
0,HighCondElliptic,4DE_0123,2.7466301759873456e-14,1.5674139526223105e-13,1.0412954644052308e-13
1,HighCondElliptic,3DE_012,1.7158740991704698e-15,4.499169868436024e-15,2.675912342012841e-15
2,HighCondElliptic,3DE_013,0.002953777489133543,0.004726698600665778,0.0016457650659143146
3,HighCondElliptic,3DE_023,1.214443307789605e-17,3.7157615043930185e-17,2.168148743166844e-17
4,HighCondElliptic,3DE_123,5.114712336858195e-18,1.4681796897187125e-17,8.63514546617447e-18
5,HighCondElliptic,2DE_01,13.970158326332276,21.8995126203678,3.881714006977099
6,HighCondElliptic,2DE_02,3.964894403492564e-22,5.0507725957016504e-21,4.5942978541710594e-21
7,HighCondElliptic,2DE_03,2.2462986669413692e-05,5.4111842831833735e-05,1.9666044798868155e-05
8,HighCondElliptic,2DE_12,1.4370679365871316e-22,1.3090160876904329e-21,2.256438229277636e-21
9,HighCondElliptic,2DE_13,2.4398483102065716e-05,6.029054196385993e-05,4.5397668827760827e-05
10,HighCondElliptic,2DE_23,5.510839318161725e-24,7.994669293486558e-23,6.639792887690852e-23
11,HighCondElliptic,1DE_0,3.2307328111360682,5.492156778681979,1.4303313059286935
12,HighCondElliptic,1DE_1,270.47573135787405,340.1814466052978,82.935195766623
13,HighCondElliptic,1DE_2,4.344591320502255e-34,2.1959714366560865e-32,5.404103110400237e-32
14,HighCondElliptic,1DE_3,3.2239385088015035e-09,8.754430591313765e-09,5.721413634866757e-09
15,BentCigar,4DE_0123,5.428039434881842e-09,3.088537419489776e-08,2.0364528909847603e-08
16,BentCigar,3DE_012,2.2128459043888462e-10,1.1975688729402674e-09,7.957047492356427e-10
17,BentCigar,3DE_013,1330.9937350383886,2904.4043656082554,1108.201383893368
18,BentCigar,3DE_023,2.7020902911089277e-13,7.601326358985126e-12,5.977128114471677e-12
19,BentCigar,3DE_123,6.403862098137313e-13,4.252621923768091e-12,4.127931816500735e-12
20,BentCigar,2DE_01,52028760.09658844,74430700.38804051,20738989.750006948
21,BentCigar,2DE_02,2.882355487925816e-16,1.3697325155856482e-15,1.4295965888596809e-15
22,BentCigar,2DE_03,12.541764597771596,33.63383595439903,15.473287149097306
23,BentCigar,2DE_12,8.327141621021899e-18,6.105854140971341e-17,7.027758225500953e-17
24,BentCigar,2DE_13,14.243075626342277,29.389717530142484,11.638891662433082
25,BentCigar,2DE_23,2.730022425528033e-18,9.981232252068212e-18,8.38342805394785e-18
26,BentCigar,1DE_0,6001742.468191051,10093492.468658559,2658383.1399650057
27,BentCigar,1DE_1,1249304948.0153105,2010463098.1656623,610690709.8804911
28,BentCigar,1DE_2,1.8583928743711594e-29,1.2346859525360181e-28,9.852099114663756e-29
29,BentCigar,1DE_3,0.0022965418894385875,0.004756315424623878,0.0019287249036088246
30,Discus,4DE_0123,3.007286573200118e-17,1.9949745713831448e-16,1.5454343774866115e-16
31,Discus,3DE_012,1.0569168922043181e-18,7.746615893440869e-18,6.271313819207769e-18
32,Discus,3DE_013,8.616849120350259e-06,2.2866440071215364e-05,1.1473808598831005e-05
33,Discus,3DE_023,1.9406005433485107e-20,6.966016573190421e-20,3.19423661286138e-20
34,Discus,3DE_123,5.442464491926928e-21,2.632221018945427e-20,1.4150442519595068e-20
35,Discus,2DE_01,0.2833289133611261,0.36903337297081384,0.09404385812680931
36,Discus,2DE_02,1.0067839162222084e-24,7.336099010125997e-24,5.262547607725791e-24
37,Discus,2DE_03,1.0905545148690674e-07,1.792728763148427e-07,4.8917715495167275e-08
38,Discus,2DE_12,2.0791280229060193e-26,4.619603201241836e-25,4.680338470332439e-25
39,Discus,2DE_13,6.682725880781522e-08,2.0694028304930065e-07,1.094216091486997e-07
40,Discus,2DE_23,2.405991891047021e-26,1.6903156683070124e-25,1.1190203594417044e-25
41,Discus,1DE_0,0.044645985909991026,0.07269081150363074,0.019870044348996155
42,Discus,1DE_1,5.036896883351392,6.69680154956774,1.2466559002295174
43,Discus,1DE_2,9.800787801677587e-38,8.422411874358934e-37,6.597703864087875e-37
44,Discus,1DE_3,1.7307474338052992e-11,2.6984657237601553e-11,6.557713355929853e-12
45,Rosenbrock,4DE_0123,15.080583715424803,29.11092828206288,24.75140679709235
46,Rosenbrock,3DE_012,13.256512996270043,21.45629952887452,17.438375441240428
47,Rosenbrock,3DE_013,27.47567034958548,30.10098294929461,2.8265981501889086
48,Rosenbrock,3DE_023,13.310132371055756,15.72820079673961,1.2700996717078081
49,Rosenbrock,3DE_123,10.679714547678996,19.17845898614703,18.78111581564713
50,Rosenbrock,2DE_01,834.790828758931,51003.72547283345,93495.0512643907
51,Rosenbrock,2DE_02,9.660799980801231,17.91921176113657,17.47499350918865
52,Rosenbrock,2DE_03,25.32029513280652,26.662285559068987,0.6667346776832566
53,Rosenbrock,2DE_12,8.067743476915938,11.053876823090203,1.9939257358405955
54,Rosenbrock,2DE_13,24.46729064762545,25.46205661494868,0.45866641205178055
55,Rosenbrock,2DE_23,10.091635541539045,19.393312545987047,20.61206977759238
56,Rosenbrock,1DE_0,72594.08158660858,241070.81258413248,92263.80707340584
57,Rosenbrock,1DE_1,121645666.01140676,367169797.9958137,260889423.2250193
58,Rosenbrock,1DE_2,17.4405560587441,24.576574409353608,16.22935873385084
59,Rosenbrock,1DE_3,20.99344683103874,21.93527452076694,0.6936207438146781
60,Ackley,4DE_0123,1.1603265903659121e-08,2.1010875883575863e-08,8.236960099762068e-09
61,Ackley,3DE_012,5.883492804059642e-09,9.97085933818198e-09,4.060593852002545e-09
62,Ackley,3DE_013,0.0038738513470555347,0.005908550827808767,0.0013121882707884385
63,Ackley,3DE_023,1.7287860032411118e-10,3.5642457874018876e-10,1.2000271825949372e-10
64,Ackley,3DE_123,1.9868551248691801e-10,4.1110617132744667e-10,1.5739137734204174e-10
65,Ackley,2DE_01,1.4627470155206552,1.881193661188681,0.2649822048579909
66,Ackley,2DE_02,3.7765346405649325e-12,9.341860618405917e-12,3.5695457314159095e-12
67,Ackley,2DE_03,0.00035867089437147115,0.0005866718792990611,8.563950483037481e-05
68,Ackley,2DE_12,3.176126028847648e-12,8.190781386474555e-12,3.781813649027802e-12
69,Ackley,2DE_13,0.0007144152213029997,0.0009391848521087098,0.00020683474628625386
70,Ackley,2DE_23,1.1723955140041653e-13,3.3217872896784684e-13,1.4756597313649516e-13
71,Ackley,1DE_0,0.31901868949602985,0.5203868057910033,0.12123133349226452
72,Ackley,1DE_1,3.6240937425033835,3.852946879128582,0.17887897987116966
73,Ackley,1DE_2,3.552713678800501e-15,4.973799150320701e-15,1.7404671430534636e-15
74,Ackley,1DE_3,2.7295409452676722e-06,4.323971340980393e-06,1.0113422315817714e-06
