,function,operator,best,mean,std
43,BentCigar,1DE_2,1.175637978489583e-103,2.1575567866737495e-101,1.757432313228645e-101
44,BentCigar,1DE_3,7.654507320134606e-28,4.572369345687642e-27,2.8053010487199373e-27
45,Discus,4DE_0123,1.9580354470502862e-48,2.605615983644687e-32,7.81684774668933e-32
46,Discus,3DE_012,5.377149116291525e-53,1.1446343132459627e-42,3.1723111248998274e-42
47,Discus,3DE_013,1.5286784022508528e-17,2.4515692687548293e-13,6.95580356683703e-13
48,Discus,3DE_023,5.277051923890618e-63,2.354528801974466e-45,7.063585266210321e-45
49,Discus,3DE_123,1.0135479446853373e-61,2.5558004048460335e-42,7.666647106376566e-42
50,Discus,2DE_01,2.1414072981517485e-05,9.098680633234352e-05,5.769230198813455e-05
51,Discus,2DE_02,7.311931506541724e-76,1.0205788118891205e-58,3.0616093578109518e-58
52,Discus,2DE_03,7.734990177176727e-27,1.894858036634437e-21,3.9349260260824586e-21
53,Discus,2DE_12,1.488879507595666e-70,1.9734648141252441e-59,4.045285008145132e-59
54,Discus,2DE_13,1.6740678735964976e-22,2.6602462046174127e-17,6.867483295601305e-17
55,Discus,2DE_23,3.34191898017066e-76,1.584999516668012e-69,4.720177052322205e-69
56,Discus,1DE_0,1.6797843098911034e-08,3.9763198175150585e-08,1.7190387990173748e-08
57,Discus,1DE_1,0.030341740332952612,0.04099003835340959,0.00963862540128249
58,Discus,1DE_2,7.359208596014406e-111,9.947615264098896e-110,1.1762213151822463e-109
59,Discus,1DE_3,6.065584555506812e-36,2.1940102027062714e-35,1.8108026083742138e-35
60,Rosenbrock,4DE_0123,1.754275950411354e-11,2.961131911205895e-05,6.453119598677741e-05
61,Rosenbrock,3DE_012,8.056308518681107e-11,1.2058013724654852,1.820701669145784
62,Rosenbrock,3DE_013,7.518016600735665,10.719677654003103,1.9641757530989636
63,Rosenbrock,3DE_023,1.2637145585599182e-10,2.2774723444253904e-07,2.708893176186886e-07
64,Rosenbrock,3DE_123,1.071548925062708e-13,0.39866243984687505,1.1959871381525946
65,Rosenbrock,2DE_01,357.2247835061215,1463.0044891416233,782.6979081444883
